Entity,Code,Year,Primary energy consumption per capita (kWh/person)
Albania,ALB,1980,15280.113
Albania,ALB,1981,14787.413
Albania,ALB,1982,14521.8
Albania,ALB,1983,14811.815
Albania,ALB,1984,14592.307
Albania,ALB,1985,14210.347
Albania,ALB,1986,13516.784
Albania,ALB,1987,12914.778
Albania,ALB,1988,13037.287
Albania,ALB,1989,11985.987
Albania,ALB,1990,8505.582
Albania,ALB,1991,6415.6206
Albania,ALB,1992,5544.9727
Albania,ALB,1993,4578.2295
Albania,ALB,1994,3980.5713
Albania,ALB,1995,4391.9185
Albania,ALB,1996,4159.798
Albania,ALB,1997,4001.062
Albania,ALB,1998,4636.6006
Albania,ALB,1999,3659.2952
Albania,ALB,2000,6216.7456
Albania,ALB,2001,6383.7065
Albania,ALB,2002,7213.592
Albania,ALB,2003,7441.479
Albania,ALB,2004,8072.544
Albania,ALB,2005,8044.378
Albania,ALB,2006,7711.4033
Albania,ALB,2007,7655.4966
Albania,ALB,2008,7983.493
Albania,ALB,2009,8136.838
Albania,ALB,2010,7582.6333
Albania,ALB,2011,8232.201
Albania,ALB,2012,7727.7363
Albania,ALB,2013,9065.398
Albania,ALB,2014,8866.902
Albania,ALB,2015,8292.746
Albania,ALB,2016,9234.724
Albania,ALB,2017,10106.212
Albania,ALB,2018,9672.0625
Albania,ALB,2019,8630.006
Albania,ALB,2020,7352.821
Albania,ALB,2021,8944.888
Albania,ALB,2022,9147.205
Albania,ALB,2023,8032.0703
Armenia,ARM,1992,14456.733
Armenia,ARM,1993,10241.846
Armenia,ARM,1994,9587.113
Armenia,ARM,1995,10491.935
Armenia,ARM,1996,14085.446
Armenia,ARM,1997,11964.407
Armenia,ARM,1998,12830.193
Armenia,ARM,1999,7874.202
Armenia,ARM,2000,8587.992
Armenia,ARM,2001,8735.807
Armenia,ARM,2002,7993.6553
Armenia,ARM,2003,8742.533
Armenia,ARM,2004,9174.885
Armenia,ARM,2005,11044.274
Armenia,ARM,2006,11084.32
Armenia,ARM,2007,12641.402
Armenia,ARM,2008,12216.934
Armenia,ARM,2009,10727.759
Armenia,ARM,2010,11824.311
Armenia,ARM,2011,12557.113
Armenia,ARM,2012,13606.589
Armenia,ARM,2013,13407.281
Armenia,ARM,2014,13808.039
Armenia,ARM,2015,12623.133
Armenia,ARM,2016,12668.348
Armenia,ARM,2017,13658.813
Armenia,ARM,2018,13424.767
Armenia,ARM,2019,14248.773
Armenia,ARM,2020,15475.302
Armenia,ARM,2021,15976.376
Armenia,ARM,2022,17722.293
Armenia,ARM,2023,16027.844
Austria,AUT,1965,26064.307
Austria,AUT,1966,27087.95
Austria,AUT,1967,27163.17
Austria,AUT,1968,28894.45
Austria,AUT,1969,29827.604
Austria,AUT,1970,34039.426
Austria,AUT,1971,33746.195
Austria,AUT,1972,34709.883
Austria,AUT,1973,37113.535
Austria,AUT,1974,37241.844
Austria,AUT,1975,37090.23
Austria,AUT,1976,38455.332
Austria,AUT,1977,38533.754
Austria,AUT,1978,40230.348
Austria,AUT,1979,42687.133
Austria,AUT,1980,42508.81
Austria,AUT,1981,41165.254
Austria,AUT,1982,39788.53
Austria,AUT,1983,39741.906
Austria,AUT,1984,39343.98
Austria,AUT,1985,41749.42
Austria,AUT,1986,41804.465
Austria,AUT,1987,44098.918
Austria,AUT,1988,43390.504
Austria,AUT,1989,43432.5
Austria,AUT,1990,43468.785
Austria,AUT,1991,45042.395
Austria,AUT,1992,43963.363
Austria,AUT,1993,44570.805
Austria,AUT,1994,44016.273
Austria,AUT,1995,46244.85
Austria,AUT,1996,47192.613
Austria,AUT,1997,47751.31
Austria,AUT,1998,48787.24
Austria,AUT,1999,49137.97
Austria,AUT,2000,49316.637
Austria,AUT,2001,50557.285
Austria,AUT,2002,50339.8
Austria,AUT,2003,50193.703
Austria,AUT,2004,51686.26
Austria,AUT,2005,52416.992
Austria,AUT,2006,51495.746
Austria,AUT,2007,50628.93
Austria,AUT,2008,51008.945
Austria,AUT,2009,49103.516
Austria,AUT,2010,50394.973
Austria,AUT,2011,47165.023
Austria,AUT,2012,49148.723
Austria,AUT,2013,48441.508
Austria,AUT,2014,46197.7
Austria,AUT,2015,45856.26
Austria,AUT,2016,46881.992
Austria,AUT,2017,47457.57
Austria,AUT,2018,46190.7
Austria,AUT,2019,48188.984
Austria,AUT,2020,44852.156
Austria,AUT,2021,45314.195
Austria,AUT,2022,42122.105
Austria,AUT,2023,43148.035
Austria,AUT,2024,45208.31
Azerbaijan,AZE,1985,34552.445
Azerbaijan,AZE,1986,36688.668
Azerbaijan,AZE,1987,35115.332
Azerbaijan,AZE,1988,34626.51
Azerbaijan,AZE,1989,34886.496
Azerbaijan,AZE,1990,36032.113
Azerbaijan,AZE,1991,34227.562
Azerbaijan,AZE,1992,28949.521
Azerbaijan,AZE,1993,24783.752
Azerbaijan,AZE,1994,22455.918
Azerbaijan,AZE,1995,20811.258
Azerbaijan,AZE,1996,16823.014
Azerbaijan,AZE,1997,15896.0625
Azerbaijan,AZE,1998,15779.74
Azerbaijan,AZE,1999,15598.277
Azerbaijan,AZE,2000,16153.973
Azerbaijan,AZE,2001,15418.192
Azerbaijan,AZE,2002,15086.057
Azerbaijan,AZE,2003,16193.649
Azerbaijan,AZE,2004,18127.234
Azerbaijan,AZE,2005,19405.906
Azerbaijan,AZE,2006,18836.46
Azerbaijan,AZE,2007,17112.117
Azerbaijan,AZE,2008,16903.684
Azerbaijan,AZE,2009,14389.062
Azerbaijan,AZE,2010,14041.92
Azerbaijan,AZE,2011,15745.113
Azerbaijan,AZE,2012,16007.676
Azerbaijan,AZE,2013,16225.271
Azerbaijan,AZE,2014,16326.349
Azerbaijan,AZE,2015,17618.03
Azerbaijan,AZE,2016,17246.135
Azerbaijan,AZE,2017,16748.137
Azerbaijan,AZE,2018,17546.863
Azerbaijan,AZE,2019,18385.926
Azerbaijan,AZE,2020,18162.768
Azerbaijan,AZE,2021,19302.547
Azerbaijan,AZE,2022,20425.451
Azerbaijan,AZE,2023,21072.756
Azerbaijan,AZE,2024,20137.387
Belarus,BLR,1985,41033.402
Belarus,BLR,1986,46563.863
Belarus,BLR,1987,46991.227
Belarus,BLR,1988,47429.98
Belarus,BLR,1989,45641.375
Belarus,BLR,1990,45745.21
Belarus,BLR,1991,45606.363
Belarus,BLR,1992,39633.062
Belarus,BLR,1993,32991.0
Belarus,BLR,1994,27585.434
Belarus,BLR,1995,24585.137
Belarus,BLR,1996,25298.854
Belarus,BLR,1997,25695.682
Belarus,BLR,1998,25231.76
Belarus,BLR,1999,24645.004
Belarus,BLR,2000,25522.084
Belarus,BLR,2001,24945.643
Belarus,BLR,2002,25976.342
Belarus,BLR,2003,25966.264
Belarus,BLR,2004,29278.977
Belarus,BLR,2005,29386.727
Belarus,BLR,2006,31443.652
Belarus,BLR,2007,30819.047
Belarus,BLR,2008,31336.238
Belarus,BLR,2009,29715.518
Belarus,BLR,2010,32263.11
Belarus,BLR,2011,31742.064
Belarus,BLR,2012,34368.99
Belarus,BLR,2013,31085.303
Belarus,BLR,2014,31127.623
Belarus,BLR,2015,28138.871
Belarus,BLR,2016,28718.361
Belarus,BLR,2017,29259.266
Belarus,BLR,2018,32402.701
Belarus,BLR,2019,32726.744
Belarus,BLR,2020,30643.37
Belarus,BLR,2021,33803.074
Belarus,BLR,2022,33086.91
Belarus,BLR,2023,33297.785
Belarus,BLR,2024,34632.566
Belgium,BEL,1965,43930.613
Belgium,BEL,1966,42079.215
Belgium,BEL,1967,43936.297
Belgium,BEL,1968,48736.29
Belgium,BEL,1969,53265.69
Belgium,BEL,1970,56029.348
Belgium,BEL,1971,54759.535
Belgium,BEL,1972,58044.5
Belgium,BEL,1973,58687.395
Belgium,BEL,1974,56572.863
Belgium,BEL,1975,53138.504
Belgium,BEL,1976,56315.676
Belgium,BEL,1977,56333.273
Belgium,BEL,1978,58693.355
Belgium,BEL,1979,60269.168
Belgium,BEL,1980,57571.547
Belgium,BEL,1981,54645.723
Belgium,BEL,1982,52206.734
Belgium,BEL,1983,50558.56
Belgium,BEL,1984,52809.992
Belgium,BEL,1985,55096.12
Belgium,BEL,1986,56814.492
Belgium,BEL,1987,58457.508
Belgium,BEL,1988,59516.973
Belgium,BEL,1989,59836.56
Belgium,BEL,1990,62378.742
Belgium,BEL,1991,64294.656
Belgium,BEL,1992,63857.26
Belgium,BEL,1993,62586.73
Belgium,BEL,1994,65629.48
Belgium,BEL,1995,66301.9
Belgium,BEL,1996,70284.875
Belgium,BEL,1997,70840.68
Belgium,BEL,1998,72074.21
Belgium,BEL,1999,71395.695
Belgium,BEL,2000,72509.64
Belgium,BEL,2001,71630.055
Belgium,BEL,2002,70983.87
Belgium,BEL,2003,73407.07
Belgium,BEL,2004,73370.9
Belgium,BEL,2005,72156.34
Belgium,BEL,2006,71881.8
Belgium,BEL,2007,71852.6
Belgium,BEL,2008,72432.766
Belgium,BEL,2009,66203.03
Belgium,BEL,2010,69929.08
Belgium,BEL,2011,64655.848
Belgium,BEL,2012,61664.453
Belgium,BEL,2013,62894.42
Belgium,BEL,2014,58059.273
Belgium,BEL,2015,58306.633
Belgium,BEL,2016,62607.22
Belgium,BEL,2017,62940.03
Belgium,BEL,2018,62492.76
Belgium,BEL,2019,64258.418
Belgium,BEL,2020,57530.324
Belgium,BEL,2021,63805.598
Belgium,BEL,2022,59651.605
Belgium,BEL,2023,55542.023
Belgium,BEL,2024,54870.88
Bosnia and Herzegovina,BIH,1992,8677.138
Bosnia and Herzegovina,BIH,1993,6852.7524
Bosnia and Herzegovina,BIH,1994,7033.086
Bosnia and Herzegovina,BIH,1995,12820.879
Bosnia and Herzegovina,BIH,1996,6143.073
Bosnia and Herzegovina,BIH,1997,9844.338
Bosnia and Herzegovina,BIH,1998,11882.883
Bosnia and Herzegovina,BIH,1999,11489.427
Bosnia and Herzegovina,BIH,2000,13112.501
Bosnia and Herzegovina,BIH,2001,12905.365
Bosnia and Herzegovina,BIH,2002,12973.768
Bosnia and Herzegovina,BIH,2003,11420.435
Bosnia and Herzegovina,BIH,2004,11305.199
Bosnia and Herzegovina,BIH,2005,10346.191
Bosnia and Herzegovina,BIH,2006,10823.57
Bosnia and Herzegovina,BIH,2007,11227.055
Bosnia and Herzegovina,BIH,2008,12752.937
Bosnia and Herzegovina,BIH,2009,15458.73
Bosnia and Herzegovina,BIH,2010,16196.391
Bosnia and Herzegovina,BIH,2011,17665.49
Bosnia and Herzegovina,BIH,2012,17613.062
Bosnia and Herzegovina,BIH,2013,16714.635
Bosnia and Herzegovina,BIH,2014,16940.182
Bosnia and Herzegovina,BIH,2015,17474.537
Bosnia and Herzegovina,BIH,2016,18144.992
Bosnia and Herzegovina,BIH,2017,19206.406
Bosnia and Herzegovina,BIH,2018,18484.44
Bosnia and Herzegovina,BIH,2019,17670.797
Bosnia and Herzegovina,BIH,2020,17237.43
Bosnia and Herzegovina,BIH,2021,20087.38
Bosnia and Herzegovina,BIH,2022,28264.172
Bosnia and Herzegovina,BIH,2023,26735.992
Bulgaria,BGR,1965,14620.77
Bulgaria,BGR,1966,15567.108
Bulgaria,BGR,1967,17968.76
Bulgaria,BGR,1968,19943.219
Bulgaria,BGR,1969,22058.291
Bulgaria,BGR,1970,24657.031
Bulgaria,BGR,1971,25529.87
Bulgaria,BGR,1972,26144.588
Bulgaria,BGR,1973,27023.654
Bulgaria,BGR,1974,27644.533
Bulgaria,BGR,1975,30414.81
Bulgaria,BGR,1976,32080.14
Bulgaria,BGR,1977,33632.816
Bulgaria,BGR,1978,34789.098
Bulgaria,BGR,1979,36062.77
Bulgaria,BGR,1980,37924.316
Bulgaria,BGR,1981,37245.914
Bulgaria,BGR,1982,38049.56
Bulgaria,BGR,1983,38219.535
Bulgaria,BGR,1984,37916.188
Bulgaria,BGR,1985,37602.87
Bulgaria,BGR,1986,38337.195
Bulgaria,BGR,1987,38579.18
Bulgaria,BGR,1988,39436.85
Bulgaria,BGR,1989,39309.855
Bulgaria,BGR,1990,36771.11
Bulgaria,BGR,1991,30198.242
Bulgaria,BGR,1992,28868.836
Bulgaria,BGR,1993,31134.502
Bulgaria,BGR,1994,30122.635
Bulgaria,BGR,1995,32624.234
Bulgaria,BGR,1996,32793.77
Bulgaria,BGR,1997,31293.846
Bulgaria,BGR,1998,30382.707
Bulgaria,BGR,1999,26929.967
Bulgaria,BGR,2000,27170.389
Bulgaria,BGR,2001,28324.223
Bulgaria,BGR,2002,27707.934
Bulgaria,BGR,2003,28875.049
Bulgaria,BGR,2004,28120.139
Bulgaria,BGR,2005,30680.197
Bulgaria,BGR,2006,31504.156
Bulgaria,BGR,2007,30663.352
Bulgaria,BGR,2008,30551.521
Bulgaria,BGR,2009,26990.662
Bulgaria,BGR,2010,28432.732
Bulgaria,BGR,2011,30434.416
Bulgaria,BGR,2012,29168.732
Bulgaria,BGR,2013,27270.346
Bulgaria,BGR,2014,29286.607
Bulgaria,BGR,2015,31303.371
Bulgaria,BGR,2016,29900.988
Bulgaria,BGR,2017,30834.584
Bulgaria,BGR,2018,31149.057
Bulgaria,BGR,2019,30327.924
Bulgaria,BGR,2020,28177.615
Bulgaria,BGR,2021,32263.266
Bulgaria,BGR,2022,33606.043
Bulgaria,BGR,2023,29007.344
Bulgaria,BGR,2024,28381.64
Croatia,HRV,1990,20851.836
Croatia,HRV,1991,17365.137
Croatia,HRV,1992,16838.043
Croatia,HRV,1993,17761.256
Croatia,HRV,1994,18150.568
Croatia,HRV,1995,19017.701
Croatia,HRV,1996,20656.52
Croatia,HRV,1997,20725.064
Croatia,HRV,1998,22208.432
Croatia,HRV,1999,23282.852
Croatia,HRV,2000,22317.953
Croatia,HRV,2001,23602.438
Croatia,HRV,2002,23601.307
Croatia,HRV,2003,24687.121
Croatia,HRV,2004,25647.283
Croatia,HRV,2005,25332.936
Croatia,HRV,2006,25012.688
Croatia,HRV,2007,25128.795
Croatia,HRV,2008,24999.676
Croatia,HRV,2009,24704.299
Croatia,HRV,2010,25170.996
Croatia,HRV,2011,22063.092
Croatia,HRV,2012,20565.84
Croatia,HRV,2013,22645.89
Croatia,HRV,2014,22753.666
Croatia,HRV,2015,21755.668
Croatia,HRV,2016,22901.484
Croatia,HRV,2017,23235.795
Croatia,HRV,2018,24388.486
Croatia,HRV,2019,24035.39
Croatia,HRV,2020,23110.643
Croatia,HRV,2021,25050.172
Croatia,HRV,2022,23846.066
Croatia,HRV,2023,26982.51
Croatia,HRV,2024,26615.488
Cyprus,CYP,1965,7576.371
Cyprus,CYP,1966,8563.817
Cyprus,CYP,1967,9196.994
Cyprus,CYP,1968,10119.043
Cyprus,CYP,1969,11836.933
Cyprus,CYP,1970,12363.76
Cyprus,CYP,1971,14598.88
Cyprus,CYP,1972,16241.959
Cyprus,CYP,1973,17297.453
Cyprus,CYP,1974,15398.195
Cyprus,CYP,1975,12936.193
Cyprus,CYP,1976,13100.408
Cyprus,CYP,1977,14685.842
Cyprus,CYP,1978,14941.394
Cyprus,CYP,1979,15043.617
Cyprus,CYP,1980,15047.482
Cyprus,CYP,1981,14307.252
Cyprus,CYP,1982,16961.58
Cyprus,CYP,1983,17576.723
Cyprus,CYP,1984,17533.297
Cyprus,CYP,1985,18549.932
Cyprus,CYP,1986,19032.611
Cyprus,CYP,1987,22894.695
Cyprus,CYP,1988,23289.115
Cyprus,CYP,1989,23554.605
Cyprus,CYP,1990,24449.057
Cyprus,CYP,1991,24422.248
Cyprus,CYP,1992,28132.1
Cyprus,CYP,1993,28679.145
Cyprus,CYP,1994,28096.639
Cyprus,CYP,1995,29246.24
Cyprus,CYP,1996,29086.635
Cyprus,CYP,1997,28801.662
Cyprus,CYP,1998,30010.984
Cyprus,CYP,1999,31013.31
Cyprus,CYP,2000,31932.213
Cyprus,CYP,2001,31748.504
Cyprus,CYP,2002,30756.688
Cyprus,CYP,2003,32101.143
Cyprus,CYP,2004,30679.959
Cyprus,CYP,2005,33771.734
Cyprus,CYP,2006,32635.766
Cyprus,CYP,2007,32614.639
Cyprus,CYP,2008,32863.74
Cyprus,CYP,2009,31552.451
Cyprus,CYP,2010,30196.178
Cyprus,CYP,2011,29415.918
Cyprus,CYP,2012,27119.346
Cyprus,CYP,2013,23885.867
Cyprus,CYP,2014,23543.232
Cyprus,CYP,2015,23931.43
Cyprus,CYP,2016,25654.014
Cyprus,CYP,2017,25987.69
Cyprus,CYP,2018,25545.797
Cyprus,CYP,2019,25253.969
Cyprus,CYP,2020,21717.27
Cyprus,CYP,2021,22653.71
Cyprus,CYP,2022,23790.744
Cyprus,CYP,2023,23877.7
Cyprus,CYP,2024,24551.195
Czechia,CZE,1965,48293.57
Czechia,CZE,1966,48507.875
Czechia,CZE,1967,47642.266
Czechia,CZE,1968,49604.77
Czechia,CZE,1969,51649.35
Czechia,CZE,1970,53755.527
Czechia,CZE,1971,56369.074
Czechia,CZE,1972,56486.242
Czechia,CZE,1973,56546.79
Czechia,CZE,1974,56810.586
Czechia,CZE,1975,58749.09
Czechia,CZE,1976,60015.082
Czechia,CZE,1977,61644.08
Czechia,CZE,1978,62191.742
Czechia,CZE,1979,62570.734
Czechia,CZE,1980,60419.594
Czechia,CZE,1981,59888.645
Czechia,CZE,1982,59132.363
Czechia,CZE,1983,59204.168
Czechia,CZE,1984,61171.72
Czechia,CZE,1985,61281.047
Czechia,CZE,1986,61969.156
Czechia,CZE,1987,63401.766
Czechia,CZE,1988,63666.67
Czechia,CZE,1989,61713.973
Czechia,CZE,1990,53071.695
Czechia,CZE,1991,48293.75
Czechia,CZE,1992,46834.6
Czechia,CZE,1993,46406.06
Czechia,CZE,1994,45194.73
Czechia,CZE,1995,47150.117
Czechia,CZE,1996,48845.676
Czechia,CZE,1997,46918.055
Czechia,CZE,1998,45616.305
Czechia,CZE,1999,43797.69
Czechia,CZE,2000,46352.703
Czechia,CZE,2001,47427.164
Czechia,CZE,2002,47537.26
Czechia,CZE,2003,50205.37
Czechia,CZE,2004,51437.6
Czechia,CZE,2005,50547.094
Czechia,CZE,2006,51380.527
Czechia,CZE,2007,50660.535
Czechia,CZE,2008,49489.69
Czechia,CZE,2009,47290.25
Czechia,CZE,2010,49087.086
Czechia,CZE,2011,47827.676
Czechia,CZE,2012,47532.332
Czechia,CZE,2013,46638.13
Czechia,CZE,2014,45633.42
Czechia,CZE,2015,44726.094
Czechia,CZE,2016,44091.977
Czechia,CZE,2017,46538.844
Czechia,CZE,2018,46357.695
Czechia,CZE,2019,45278.137
Czechia,CZE,2020,41949.023
Czechia,CZE,2021,44290.19
Czechia,CZE,2022,42043.363
Czechia,CZE,2023,38043.734
Czechia,CZE,2024,36589.773
Denmark,DNK,1965,34926.24
Denmark,DNK,1966,39410.375
Denmark,DNK,1967,39320.52
Denmark,DNK,1968,40837.613
Denmark,DNK,1969,46618.156
Denmark,DNK,1970,49301.176
Denmark,DNK,1971,46268.83
Denmark,DNK,1972,48550.32
Denmark,DNK,1973,46690.67
Denmark,DNK,1974,42276.887
Denmark,DNK,1975,41545.992
Denmark,DNK,1976,45624.316
Denmark,DNK,1977,46415.64
Denmark,DNK,1978,46944.08
Denmark,DNK,1979,46735.41
Denmark,DNK,1980,45472.83
Denmark,DNK,1981,40855.637
Denmark,DNK,1982,39077.453
Denmark,DNK,1983,37171.727
Denmark,DNK,1984,37812.81
Denmark,DNK,1985,42593.06
Denmark,DNK,1986,43479.188
Denmark,DNK,1987,41863.688
Denmark,DNK,1988,41388.055
Denmark,DNK,1989,38150.27
Denmark,DNK,1990,39284.2
Denmark,DNK,1991,45176.19
Denmark,DNK,1992,42181.61
Denmark,DNK,1993,44578.895
Denmark,DNK,1994,47646.367
Denmark,DNK,1995,46551.258
Denmark,DNK,1996,55079.805
Denmark,DNK,1997,49762.707
Denmark,DNK,1998,47827.82
Denmark,DNK,1999,46234.027
Denmark,DNK,2000,44294.85
Denmark,DNK,2001,44266.516
Denmark,DNK,2002,44039.605
Denmark,DNK,2003,47347.523
Denmark,DNK,2004,44712.285
Denmark,DNK,2005,43106.32
Denmark,DNK,2006,46985.727
Denmark,DNK,2007,44565.855
Denmark,DNK,2008,42752.508
Denmark,DNK,2009,39978.305
Denmark,DNK,2010,42534.68
Denmark,DNK,2011,39666.25
Denmark,DNK,2012,36703.64
Denmark,DNK,2013,37700.766
Denmark,DNK,2014,36068.55
Denmark,DNK,2015,35007.945
Denmark,DNK,2016,35194.582
Denmark,DNK,2017,35208.766
Denmark,DNK,2018,34539.766
Denmark,DNK,2019,37285.684
Denmark,DNK,2020,32952.97
Denmark,DNK,2021,32756.87
Denmark,DNK,2022,32903.926
Denmark,DNK,2023,32816.66
Denmark,DNK,2024,32832.465
Estonia,EST,1985,77659.54
Estonia,EST,1986,76766.94
Estonia,EST,1987,77340.914
Estonia,EST,1988,75449.164
Estonia,EST,1989,77332.12
Estonia,EST,1990,81248.34
Estonia,EST,1991,74582.45
Estonia,EST,1992,52778.336
Estonia,EST,1993,44911.56
Estonia,EST,1994,46444.62
Estonia,EST,1995,42790.797
Estonia,EST,1996,46012.625
Estonia,EST,1997,45745.91
Estonia,EST,1998,41336.574
Estonia,EST,1999,38286.332
Estonia,EST,2000,39725.285
Estonia,EST,2001,41670.42
Estonia,EST,2002,41761.258
Estonia,EST,2003,45822.414
Estonia,EST,2004,47044.355
Estonia,EST,2005,47580.188
Estonia,EST,2006,47279.69
Estonia,EST,2007,55004.875
Estonia,EST,2008,50749.477
Estonia,EST,2009,44005.977
Estonia,EST,2010,54937.555
Estonia,EST,2011,54968.05
Estonia,EST,2012,55562.555
Estonia,EST,2013,58776.996
Estonia,EST,2014,56419.855
Estonia,EST,2015,52204.055
Estonia,EST,2016,53777.426
Estonia,EST,2017,59573.93
Estonia,EST,2018,58911.23
Estonia,EST,2019,47301.492
Estonia,EST,2020,44171.176
Estonia,EST,2021,46137.703
Estonia,EST,2022,46890.336
Estonia,EST,2023,41162.695
Estonia,EST,2024,40986.305
Finland,FIN,1965,25284.799
Finland,FIN,1966,28673.293
Finland,FIN,1967,30011.488
Finland,FIN,1968,32422.615
Finland,FIN,1969,35665.55
Finland,FIN,1970,39447.76
Finland,FIN,1971,40454.45
Finland,FIN,1972,42398.668
Finland,FIN,1973,46460.086
Finland,FIN,1974,44333.28
Finland,FIN,1975,44840.5
Finland,FIN,1976,47412.434
Finland,FIN,1977,50002.754
Finland,FIN,1978,51748.45
Finland,FIN,1979,55798.055
Finland,FIN,1980,55376.215
Finland,FIN,1981,55674.742
Finland,FIN,1982,54671.61
Finland,FIN,1983,53825.727
Finland,FIN,1984,55786.504
Finland,FIN,1985,58287.605
Finland,FIN,1986,58766.08
Finland,FIN,1987,61695.867
Finland,FIN,1988,61114.07
Finland,FIN,1989,61156.637
Finland,FIN,1990,64823.824
Finland,FIN,1991,65968.336
Finland,FIN,1992,65383.906
Finland,FIN,1993,65628.07
Finland,FIN,1994,68592.805
Finland,FIN,1995,65141.914
Finland,FIN,1996,67804.51
Finland,FIN,1997,68557.55
Finland,FIN,1998,70678.42
Finland,FIN,1999,69141.05
Finland,FIN,2000,69377.15
Finland,FIN,2001,70720.08
Finland,FIN,2002,70909.47
Finland,FIN,2003,75758.85
Finland,FIN,2004,75218.61
Finland,FIN,2005,68155.234
Finland,FIN,2006,72824.57
Finland,FIN,2007,72265.66
Finland,FIN,2008,69352.39
Finland,FIN,2009,63925.277
Finland,FIN,2010,69227.41
Finland,FIN,2011,64942.016
Finland,FIN,2012,62885.137
Finland,FIN,2013,62841.867
Finland,FIN,2014,60388.477
Finland,FIN,2015,60020.11
Finland,FIN,2016,60792.52
Finland,FIN,2017,59403.098
Finland,FIN,2018,60525.258
Finland,FIN,2019,59218.777
Finland,FIN,2020,56776.08
Finland,FIN,2021,57854.73
Finland,FIN,2022,57499.42
Finland,FIN,2023,59655.676
Finland,FIN,2024,59564.754
France,FRA,1965,27621.375
France,FRA,1966,27989.49
France,FRA,1967,29488.37
France,FRA,1968,30803.596
France,FRA,1969,33594.562
France,FRA,1970,36046.105
France,FRA,1971,36952.41
France,FRA,1972,38999.477
France,FRA,1973,42016.35
France,FRA,1974,40974.973
France,FRA,1975,38564.234
France,FRA,1976,40678.547
France,FRA,1977,41310.926
France,FRA,1978,42640.688
France,FRA,1979,43657.156
France,FRA,1980,43146.258
France,FRA,1981,42266.633
France,FRA,1982,40498.457
France,FRA,1983,41171.86
France,FRA,1984,42383.414
France,FRA,1985,43547.31
France,FRA,1986,44341.496
France,FRA,1987,45104.48
France,FRA,1988,45446.906
France,FRA,1989,45749.082
France,FRA,1990,46496.09
France,FRA,1991,49486.617
France,FRA,1992,49655.938
France,FRA,1993,49374.152
France,FRA,1994,48702.86
France,FRA,1995,49906.992
France,FRA,1996,51598.414
France,FRA,1997,50635.94
France,FRA,1998,51672.05
France,FRA,1999,52095.41
France,FRA,2000,52416.18
France,FRA,2001,52467.066
France,FRA,2002,51700.01
France,FRA,2003,51909.51
France,FRA,2004,51983.934
France,FRA,2005,51181.785
France,FRA,2006,50426.094
France,FRA,2007,49265.89
France,FRA,2008,49137.234
France,FRA,2009,46095.29
France,FRA,2010,47325.062
France,FRA,2011,45465.84
France,FRA,2012,45190.88
France,FRA,2013,45428.73
France,FRA,2014,43247.4
France,FRA,2015,43493.316
France,FRA,2016,42506.24
France,FRA,2017,42218.56
France,FRA,2018,42589.26
France,FRA,2019,41554.387
France,FRA,2020,37087.555
France,FRA,2021,39307.22
France,FRA,2022,34796.047
France,FRA,2023,36221.496
France,FRA,2024,37865.61
Georgia,GEO,1992,15323.368
Georgia,GEO,1993,8676.13
Georgia,GEO,1994,6193.0796
Georgia,GEO,1995,6870.065
Georgia,GEO,1996,7162.7534
Georgia,GEO,1997,7667.2837
Georgia,GEO,1998,7864.9
